STT,Từ vựng gốc,Từ loại,Phiên âm,Ý nghĩa,Câu ví dụ,Dịch câu ví dụ
477,量,Động từ,liáng,"đo, đo lường (như 测量)",请用你书包里的塑料尺子仔细量一下这张红纸的宽度宽度厘米。,Dùng thước kẻ nhựa trong cặp đo kỹ chiều rộng tờ giấy đỏ này.
478,粮食,Danh từ,liángshi,"lương thực, đồ ăn gạo mì",节约粮食是每个公民的基本日常美德，我们在食堂吃饭千万千万别浪费。,"Tiết kiệm lương thực là nét đẹp, ăn nhà ăn đừng vứt lãng phí."
479,两边,Danh từ,liǎngbiān,"hai bên, đôi bên",红绿灯马路路口的两边各种植了一排排绿油油、非常高大的树木树木。,Hai bên ngã tư đường xanh đỏ trồng những hàng cây xanh cao lớn.
480,疗养,Động từ,liáoyǎng,"liệu dưỡng, dưỡng bệnh, an dưỡng",爷爷退休后，去了一个风景极其优美、空气极其新鲜的温泉区疗养疗养。,Ông nội hưu trí đi an dưỡng ở khu suối nước nóng cảnh đẹp khí trong.
481,了不起,Tính từ,liǎobuqǐ,"phi thường, cừ khôi, xuất sắc, đáng nể",他在一年内就顺利通过了汉语四级考试，大家觉得他真真了不起了不起。,"Cậu ấy đỗ HSK 4 chỉ trong 1 năm học, ai cũng thấy cậu thật siêu."
482,了解,Động từ,liǎojiě,"hiểu rõ, tìm hiểu, hiểu biết",多去逛逛当地的菜市场能帮我们更深地了解当地人的日常日常生活风俗。,Đi lượn chợ rau địa phương giúp hiểu sâu sinh hoạt người dân.
483,列,Danh từ / Lượng từ / Động từ,liè,"hàng, dãy, đoàn (lượng từ xe lửa/xe)",今天下午，有一列满载着新鲜水果的绿皮货运火车准时开进开进了车站。,Chiều nay một đoàn tàu chở đầy quả tươi chạy vào ga đúng giờ.
484,列车,Danh từ,lièchē,"đoàn tàu, xe lửa, xe chạy ray",这列从河内开往北京的高铁列车内部空间非常宽敞，乘坐起来乘坐起来舒服。,Đoàn tàu cao tốc Hà Nội đi Bắc Kinh này ngồi rất rộng và dễ chịu.
485,列入,Động từ,lièrù,"liệt vào, đưa vào danh sách, xếp vào",学校已经把关于绿色环保的中文讲座正式列入了这学期的核心活动这学期的核心活动。,Trường đưa tọa đàm tiếng Trung môi trường vào sự kiện chính kỳ này.
486,列为,Động từ,lièwéi,"liệt làm, xếp vào loại, xếp thành",这座古老且有特色的跨江大桥大桥已被政府列为国家重点重点保护文物。,Cây cầu vượt sông cổ này được xếp làm di tích quốc gia cần bảo vệ.
487,临时,Tính từ / Phó từ,línshí,"tạm thời, lâm thời, đột xuất",由于今晚临时有紧急会议，经理不得不调整了明天的会议会议日程表。,"Vì tối nay họp khẩn đột xuất, sếp đành sửa lịch họp ngày mai."
488,零食,Danh từ,língshí,"đồ ăn vặt, quà vặt",女孩子们看书写作业时，总喜欢在桌子上摆一些果冻等特色零食特色零食。,Con gái khi học bài thích bày mấy đồ ăn vặt như thạch lên bàn.
489,流传,Động từ,liúchuán,"lưu truyền, truyền lại từ xưa",这个关于中秋节起原的优美中文传说在中国民间流传流传了数千年。,Truyền thuyết tết Trung thu này lưu truyền trong dân gian nghìn năm.
490,楼梯,Danh từ,lóutī,"cầu thang, cầu thang bộ",由于这栋大楼的电梯突然突然坏了，我们今天只好选择走楼梯上去走楼梯上去。,"Vì thang máy tòa nhà bỗng hỏng, tụi tôi đành đi bộ lên lầu."
491,陆地,Danh từ,lùdì,"lục địa, đất liền",广阔的海洋占了地球表面积的七成，而陆地仅仅占了三成左右三成左右。,"Đại dương chiếm 70% bề mặt Trái Đất, đất liền chỉ chiếm tầm 30%."
492,陆续,Phó từ,lùxù,"lần lượt, liên tiếp, nối tiếp nhau",下课铃声响过后，同学们都纷纷陆续走出了安静的多媒体多媒体教室。,"Sau tiếng chuông tan học, học sinh lần lượt ra khỏi phòng học."
493,录取,Động từ,lùqǔ,"tuyển dụng, trúng tuyển, nhận vào học",他今天上午非常开心收到收到了北京大学中文系发来的研究生录取通知研究生录取通知。,Sáng nay cậu ấy vui mừng nhận giấy báo trúng tuyển thạc sĩ Bắc Đại.
494,律师,Danh từ,lǜshī,luật sư,李华大学毕业后决定去一家著名事务所工作，争取成为一名专业律师专业律师。,Lý Hoa tốt nghiệp định vào văn phòng luật phấn đấu làm luật sư.
495,轮,Danh từ / Động từ / Lượng từ,lún,"bánh xe, luân phiên, vòng (lượng từ trăng/mặt trời/vòng đấu)",天空中挂着一轮圆滚滚非常洁白的明月，今晚正好是传统的中秋中秋佳节。,"Trên trời treo vầng trăng tròn trắng tinh, nay đúng dịp Trung thu."
496,轮船,Danh từ,lúnchuán,"tàu thủy, tàu lớn chạy biển",那艘巨大的白色轮轮船缓缓驶离了繁忙繁忙的大港口，开往大洋深处。,Chiếc tàu thủy trắng khổng lồ từ từ rời cảng sầm uất ra khơi.
497,轮椅,Danh từ,lúnyǐ,xe lăn,他推着坐着轮椅的爷爷在安静的公园小路上慢慢散步。,Cậu ấy đẩy chiếc xe lăn của ông nội đi dạo chậm rãi trên con đường công viên.
498,轮子,Danh từ,lúnzi,bánh xe,这辆大巴的其中一个黑色轮子在途中突然坏了，需要紧急维修。,Một chiếc bánh xe màu đen của chiếc xe khách này bị hỏng dọc đường cần sửa gấp.
499,论文,Danh từ,lùnwén,"luận văn, bài viết tốt nghiệp",为了写好这篇汉语毕业论文，他在图书馆里认真收集了大量资料。,"Để viết tốt luận văn tốt nghiệp tiếng Trung này, cậu ấy thu thập tài liệu chăm chỉ."
500,落,Động từ,luò,"rơi, rụng, rớt xuống",秋风吹过，大树上的黄色叶子纷纷飘落到干净的操场地面上。,"Gió thu thổi qua, những chiếc lá vàng trên cây rơi rụng xuống mặt sân sạch sẽ."
501,毛巾,Danh từ,máojīn,"khăn lau, khăn mặt",洗完脸以后，请用这块非常暖和舒服的白色毛巾把脸上的水擦干。,"Lau mặt xong, xin dùng chiếc khăn trắng rất ấm áp này lau khô nước."
502,毛衣,Danh từ,máoyī,áo len,冬天天气非常极其寒冷，妈妈特意给我织了一件非常厚实的绿毛衣。,"Mùa đông rất lạnh, mẹ đặc biệt đan cho tôi chiếc áo len xanh rất dày."
503,帽子,Danh từ,màozi,"mũ, nón",李华今天戴了一顶非常时尚漂亮的红色运动帽子去操场跑步跑步。,Lý Hoa hôm nay đội chiếc mũ thể thao đỏ rất sành điệu đi chạy bộ.
504,没错,Động từ / Phó từ,méicuò,"không sai, đúng vậy, chính xác",这道汉语阅读测试题的正确答案的确是选A，你判断得没错。,"Đáp án đúng của câu đọc này quả thực chọn A, bạn phán đoán không sai."
505,没办法,Động từ,méibànfǎ,"không có cách nào, bó tay",由于突发暴雨导致大楼停电，我们今天下午没办法继续做实验了。,"Do mưa bão đột xuất mất điện, chiều nay ta không thể làm thí nghiệm."
506,没想到,Động từ / Phó từ,méixiǎngdào,"không ngờ tới, không ngờ",他平时学习那么不认真，没想到这次汉语期末考试竟然及格及格了。,"Cậu ấy lười học thế, không ngờ lần thi cuối kỳ này lại đỗ."
507,美金,Danh từ,měijīn,"đô la Mỹ, USD",出国以前，我特意去大银行兑换了一百美金的零钱，方便出行出行。,"Trước khi đi, tôi ra ngân hàng đổi 100 USD tiền lẻ tiện đi lại."
508,美女,Danh từ,měinǚ,"mỹ nữ, cô gái đẹp",舞台上站着几位正在用中文流利主持节目主持节目的高挑美女。,Trên sân khấu có vài cô gái đẹp đang dẫn chương trình bằng tiếng Trung.
509,梦,Danh từ / Động từ,mèng,"giấc mơ, mơ thấy",昨晚半夜我做了一个非常奇怪的梦，梦见自己登上了万里长城。,"Đêm qua tôi mơ giấc mơ kỳ lạ, mơ thấy mình leo lên Trường Thành."
510,梦见,Động từ,mèngjiàn,"mơ thấy, nằm mơ thấy",我昨晚梦见自己顺利顺利拿到了去北京留学的政府奖学金奖学金。,Đêm qua tôi mơ thấy mình giành được học bổng đi du học Bắc Kinh.
511,梦想,Động từ / Danh từ,mèngxiǎng,"mơ ước, ước mơ, khát vọng",我的最大梦想梦想是将来能够去中国北京大学中文系读研究生。,Mơ ước lớn nhất của tôi là sau này học thạc sĩ khoa Trung Bắc Đại.
512,秘密,Danh từ / Tính từ,mìmì,bí mật,关于新产品核心技术的研发数据，大家必须保证这这属于秘密。,"Về số liệu sản phẩm mới, mọi người phải bảo đảm đây là bí mật."
513,秘书,Danh từ,mìshū,thư ký,李经理的秘书今天下午将要在多功能会议室主持召开工作会议。,Thư ký giám đốc Lý chiều nay chủ trì cuộc họp ở phòng họp đa năng.
514,密,Tính từ,mì,"dày đặc, mật thiết, kín",这片绿色的森林树木长得非常密，连中午阳光都很难照进来照进来。,"Cây cối rừng xanh này mọc rất dày, nắng trưa cũng khó rọi vào."
515,密码,Danh từ,mìmǎ,"mật mã, password",为了保证账户财产安全，请不要设置过于简单的学生证密码密码。,"Để bảo đảm tài khoản an toàn, đừng đặt mật khẩu thẻ học sinh dễ quá."
516,密切,Tính từ / Động từ,mìqiè,"mật thiết, chặt chẽ, gắn bó",我们两个汉语学习小组要保持密切的沟通交流，共同提高成绩成绩。,Hai nhóm học tiếng Trung phải giữ liên lạc mật thiết để cùng tiến.
517,免费,Động từ,miǎnfèi,"miễn phí, không tính tiền",学校的新语言实验室目前正处于免费免费体验阶段，欢迎大家去体验。,Phòng lab mới của trường đang mở cửa trải nghiệm miễn phí.
518,面临,Động từ,miànlín,"đối mặt, đứng trước (khó khăn/thách thức)",毕业季即将到来，大四的毕业生们都面临着巨大的就业压力就业压力。,"Mùa tốt nghiệp sắp đến, sinh viên năm cuối đối mặt áp lực việc làm."
519,面试,Động từ / Danh từ,miànshì,"phỏng vấn, thi vấn đáp",他今天上午去了一家著名的外企，参加了非常严肃的中文面试面试。,Sáng nay cậu ấy đến công ty nước ngoài tham gia phỏng vấn tiếng Trung.
520,描述,Động từ,miáoshù,"miêu tả, mô tả, thuật lại",请根据你的理解，用极其简洁的汉语描述一下这幅图画图画插图。,Xin dùng tiếng Trung ngắn gọn mô tả hình ảnh minh họa này.
521,描写,Động từ,miáoxiě,"miêu tả, khắc họa, tả cảnh",这篇优秀的中文文章生动描写了北京秋季风景风景的迷人之处。,Bài viết xuất sắc tả sinh động nét quyến rũ phong cảnh thu Bắc Kinh.
522,名牌,Danh từ,míngpái,"nhãn hiệu nổi tiếng, hiệu nổi tiếng",他身上穿的那件深蓝色运动外套上衣是一个非常出名的名牌名牌。,Chiếc áo khoác thể thao xanh thẫm cậu ấy mặc là hàng hiệu nổi tiếng.
523,名片,Danh từ,míngpiàn,"danh thiếp, card visit",谈判顺利结束后，两位经理热情友好地站在一起交换了名片名片。,"Đàm phán xong, hai giám đốc thân thiện bắt tay trao đổi danh thiếp."
524,名人,Danh từ,míngrén,người nổi tiếng,学校大礼堂的走廊墙壁墙壁上面挂了很多中国历史名人的画像画像。,Hành lang hội trường treo ảnh chân dung nhiều danh nhân lịch sử.
525,摸,Động từ,mō,"sờ, chạm, mò, nắn",这件白色的纯棉衣服穿在身上非常舒服，摸起来手感也极其暖和极其暖和。,"Chiếc áo cotton trắng mặc rất thích, sờ vào thấy rất ấm áp."
526,模特儿,Danh từ,mótèr,người mẫu,那个高挑的女孩在今天下午名牌服装秀上担任了核心模特儿角色角色。,Cô gái cao ráo làm người mẫu chính buổi diễn thời trang hiệu chiều nay.
527,模型,Danh từ,móxíng,mô hình,物理实验室的桌子上整齐地摆放着几个大楼建筑的木头模型模型。,Trên bàn phòng thí nghiệm vật lý bày vài mô hình tòa nhà bằng gỗ.
528,末,Danh từ,mò,"cuối, ngọn, vụn (như 周末, 年末)",每逢周末或者期末阶段，图书馆的阅览室里都会坐满看书的学生坐满看书的学生。,"Mỗi dịp cuối tuần hay cuối kỳ, phòng đọc thư viện luôn đông kín."
529,默默,Phó từ,mòmò,"lặng lẽ, âm thầm, âm thầm lặng lẽ",他总是默默地帮助班里那些汉语基础较差的外国留学生外籍留学生。,Cậu ấy luôn lặng lẽ giúp du học sinh có tiếng Trung yếu hơn.
530,哪怕,Liên từ,nǎpà,"cho dù, dù cho (thường đi với 也)",哪怕明天的普通话测试难度再高，我们也一定要坚持考完考完它。,"Cho dù bài thi ngày mai độ khó cao thế nào, ta cũng phải thi xong."
531,那,Trợ từ,nà,"nào, thế thì (chuyển ý)",那好吧，既然你明天下午有空儿的话，咱们就一块儿去逛街买衣服买衣服吧。,"Thế thì được, nếu chiều mai bạn rảnh thì tụi mình cùng đi sắm đồ."
532,男女,Danh từ,nánnǚ,"nam nữ, hai giới",我们学校今晚要举办一场盛大的男女男女混合排球友谊比赛活动。,Trường ta tối nay tổ chức giao hữu bóng chuyền nam nữ phối hợp.
533,男士,Danh từ,nánshì,"nam giới, quý ông, đàn ông",这家大型服装店的一楼是专门销售各类男士运动外套的专区专区。,Tầng 1 tiệm quần áo lớn này chuyên bán áo khoác thể thao nam.
534,难免,Tính từ,nánmiǎn,"khó tránh, khó tránh khỏi",在刚刚开始练习写汉字时，写错笔顺和拼音是难免难免的事情。,"Khi mới luyện viết chữ Hán, viết sai nét bính âm là khó tránh."
535,脑袋,Danh từ,nǎodai,"đầu, đầu óc, trí óc",看汉语课本时间太长了，我现在感觉脑袋有一点儿酸痛和昏沉和昏沉。,"Đọc sách tiếng Trung lâu quá, giờ tôi thấy đầu hơi mỏi và nhức."
536,闹,Tính từ / Động từ,nào,"ồn ào, náo động, làm loạn",外面街道上施工的声音太吵了，闹得我在教室里根本无法看书看书。,Tiếng thi công ngoài phố ồn quá làm tôi không thể đọc sách ở lớp.
537,闹钟,Danh từ,nàozhōng,đồng hồ báo thức,为了明天早上能准时参加汉语测试，我今天晚上要把闹钟调好闹钟调好。,"Để mai thi đúng giờ, tối nay tôi phải đặt đồng hồ báo thức."
538,内部,Danh từ,nèibù,"nội bộ, bên trong, trong lòng",这台自动化电脑机器设备的内部结构设计得非常极其复杂极其复杂。,Cấu trúc bên trong của thiết bị máy tính tự động này cực phức tạp.
539,内科,Danh từ,nèikē,"khoa nội, nội khoa",他的大哥哥在学校附近的重点医院里担任了一名内科内科医生医生。,Anh cả cậu ấy làm bác sĩ khoa nội ở bệnh viện lớn gần trường.
540,能干,Tính từ,nénggàn,"tài giỏi, đảm đang, có năng lực",李华不仅学习汉语极其刻苦，做起家务来也是非常能干能干贤惠。,Lý Hoa học hành chăm lại rất đảm đang khi làm việc nhà.
541,宁静,Tính từ,níngjìng,"yên tĩnh, thanh bình, bình yên",清晨，安静美丽的校园里一片宁静，空气也显得格外清新格外清新。,"Sáng sớm, khuôn viên trường thật thanh bình, không khí rất trong lành."
542,浓,Tính từ,nóng,"đậm, đặc, nồng",每天早晨，爸爸都习惯在客厅里冲一杯香气极其浓烈浓烈的热咖啡。,Mỗi sáng bố đều quen pha một cốc cà phê nóng hương vị rất đậm đà.
543,女士,Danh từ,nǚshì,"quý bà, quý cô, nữ sĩ",那位穿着黑色大衣的女士对大家态度亲切友好，是新来的老师新来的老师。,"Quý cô mặc áo măng tô đen kia rất ân cần, là giáo viên mới đến."
544,暖气,Danh từ,nuǎnqì,"hệ thống sưởi, hơi ấm sưởi",北京冬季的天气非常严寒，好在宿舍大楼里面都有充足的暖气暖气。,"Mùa đông Bắc Kinh rất lạnh, may là ký túc xá có máy sưởi ấm."
545,拍照,Động từ,pāizhào,"chụp ảnh, chụp hình",这里的樱花景色实在太美丽了，我们赶紧站在一起拍几张照吧拍照吧。,"Cảnh hoa anh đào đẹp quá, tụi mình đứng chụp chung vài kiểu ảnh đi."
546,排列,Động từ,páiliè,"sắp xếp, xếp hàng, liệt kê",请把这些汉语卡片按照一到十的顺序，整整齐齐地排列排列好在桌上。,Xin hãy xếp các thẻ tiếng Trung ngay ngắn theo thứ tự từ 1-10.
547,牌,Danh từ,pái,"tấm bảng, thẻ, nhãn hiệu, quân bài",大门口挂着一面红色的木头指示牌，上面写着图书馆具体具体方向。,Cổng treo tấm biển chỉ dẫn gỗ đỏ ghi hướng cụ thể đi thư viện.
548,盘子,Danh từ / Lượng từ,pánzi,"cái đĩa, khay, mâm (lượng từ)",请帮我把桌子上那两个盛满新鲜苹果的白瓷盘子端到客厅去端到客厅去。,Giúp tôi mang hai chiếc đĩa sứ trắng đầy táo trên bàn ra phòng khách.
549,胖子,Danh từ,pàngzi,"người béo, người mập",由于他平时不爱做运动又吃太多糖，身体渐渐变成了一个小胖子胖子。,"Do lười vận động lại ăn nhiều đường, người cậu ấy hơi béo mập."
550,培训,Động từ / Danh từ,péixùn,"đào tạo, huấn luyện, tập huấn",公司下个月决定派我们小组去北京总部参加为期三天的技术培训技术培训。,Công ty cử nhóm tôi đi tập huấn kỹ thuật 3 ngày ở tổng bộ Bắc Kinh.
551,培训班,Danh từ,péixùnbān,"lớp đào tạo, khóa huấn luyện",为了提高口语水平，他主动在外面报了一个汉语口语周末培训班培训班。,"Để nâng cao nói, cậu ấy đăng ký lớp khẩu ngữ tiếng Trung cuối tuần."
552,培养,Động từ,péiyǎng,"bồi dưỡng, nuôi dưỡng, rèn luyện thói quen",多听多说有利于培养我们良好的汉语口语表达表达和语感能力。,Nghe nói nhiều giúp bồi dưỡng phản xạ nói tiếng Trung tốt.
553,培育,Động từ,péiyù,"nuôi cấy, bồi dưỡng, gieo trồng",这里的农民通过引进先进技术，成功培育出了一种甜美的新苹果新苹果。,Nông dân nhập công nghệ mới gieo trồng thành công giống táo ngọt.
554,批,Lượng từ,pī,"lô, loạt, đợt, nhóm (lượng từ hàng hóa/người)",今天上午，有一大批新买的先进电脑设备准时运抵了多媒体教室运抵了多媒体教室。,Sáng nay một loạt máy tính tiên tiến mới mua được giao đến lớp học.
555,批,Động từ,pī,"phê duyệt, phê bình, bán sỉ (như 批发, 批准)",李经理今天上午正式批准批准了我们关于开拓新项目的汉语报告报告。,Sếp Lý đã phê duyệt báo cáo tiếng Trung mở dự án mới sáng nay.
556,片面,Tính từ,piànmiàn,"phiến diện, một chiều, không toàn diện",我们评价一个同学时，千万不能只看缺点，这未免有些片面片面了。,"Đánh giá bạn học chớ nhìn mỗi khuyết điểm, như vậy hơi phiến diện."
557,品质,Danh từ,pǐnzhì,"phẩm chất, chất lượng (hàng hóa/con người)",这家大超市陈列的商品品质都非常优秀，价格也相当合理合理。,"Hàng hóa trưng bày ở siêu thị này chất lượng rất tốt, giá cả hợp lý."
558,平方,Danh từ / Lượng từ,píngfāng,"bình phương, mét vuông",这间留学生宿舍的内部使用面积面积大约有二十五个平方左右平方左右。,Diện tích sử dụng trong phòng ký túc xá du học sinh này tầm 25 m2.
559,平静,Tính từ,píngjìng,"bình tĩnh, yên bình, phẳng lặng (trạng thái/hồ nước)",听到这个突然的消息，他的内心深处却依然显得格外平静平静无波。,Nghe tin đột xuất lòng cậu ấy vẫn tỏ ra bình tĩnh lạ thường.
560,平衡,Động từ / Tính từ,pínghéng,"cân bằng, giữ cân bằng, sự cân bằng",在进行慢跑慢跑等体育运动时，我们要注意保持身体的平衡安全平衡安全。,"Khi chạy bộ tập thể thao, cần chú ý giữ cơ thể thăng bằng an toàn."
561,平均,Tính từ / Động từ,píngjūn,"trung bình, bình quân",我们班级里同学们的汉语测试成绩平均在八十五分以上，相当好成绩在八十五分以上，相当好。,"Điểm thi tiếng Trung trung bình lớp tôi trên 85, khá tốt."
562,迫切,Tính từ,pòqiè,"cấp bách, khẩn thiết, bức thiết",面对下个月就要进行的测试，他现在迫切地需要提高听力水平听力水平。,"Đối mặt kỳ thi tháng tới, cậu ấy rất cần nâng cao nghe hiểu."
563,破产,Động từ,pòchǎn,"phá sản, sập tiệm",由于经营不善加上缺少资金，那家新开的电脑电脑软件公司破产了公司破产了。,"Do làm ăn kém và thiếu vốn, công ty phần mềm đó đã phá sản."
564,妻子,Danh từ,qīzi,vợ,李华的妻子在学校附近的重点医院里担任了一名温柔的护士护士。,Vợ Lý Hoa làm cô y tá dịu dàng ở bệnh viện lớn gần trường.
565,期待,Động từ,qīdài,"kỳ vọng, mong đợi, đón chờ",留学生们都非常期待着下个月去中国北京游玩的长途旅行长途旅行。,Du học sinh đều rất mong đợi chuyến đi chơi xa Bắc Kinh tháng tới.
566,期间,Danh từ,qījiān,"thời kỳ, khoảng thời gian, dịp",在北京留学期间，我结交了很多热情友好、爱国守纪的中国同学中国同学。,Dịp du học Bắc Kinh tôi kết giao nhiều bạn học Trung Quốc tốt.
567,期末,Danh từ,qīmò,cuối kỳ (quý học),每到期末阶段，同学们都忙着在阅览室里复习汉语、写论文写论文。,"Mỗi dịp cuối kỳ, học sinh bận rộn ôn tập viết luận văn phòng đọc."
568,期限,Danh từ,qīxiàn,"kỳ hạn, thời hạn",请在规定的三天期限以内把你的汉语报告修改好修改好交给我。,Xin hãy sửa xong báo cáo tiếng Trung nộp tôi trong thời hạn 3 ngày.
569,期中,Danh từ,qīzhōng,giữa kỳ (quý học),我们下周就要进行汉语期中测试，大家今天晚上都在认真复习复习。,"Tuần tới tụi tôi thi giữa kỳ tiếng Trung, tối nay ai cũng ôn tập chăm."
570,其余,Đại từ,qíyú,"còn lại, phần còn lại, những cái khác",除了李华在宿舍看书外，其余的同学都去操场跑步跑步去了。,"Ngoài Lý Hoa ở phòng đọc sách, các bạn còn lại đều ra sân chạy bộ."
571,企业,Danh từ,qǐyè,"doanh nghiệp, công ty",很多优秀的毕业生毕业后都选择去外资大企业大公司里寻找工作寻找工作。,Nhiều sinh viên giỏi tốt nghiệp chọn vào công ty lớn nước ngoài tìm việc.
572,气候,Danh từ,qìhòu,khí hậu,北京的气候四季分明，秋天的天气是最宜人、最凉快舒服的了最凉快舒服的了。,"Khí hậu Bắc Kinh 4 mùa rõ rệt, mùa thu mát mẻ dễ chịu nhất."
573,气球,Danh từ,qìqiú,bóng bay,小妹妹手里拿着一束五颜六色非常漂亮的气球，开心地跑跑跳跳开心地跑跑跳跳。,Em gái nhỏ cầm chùm bóng bay màu sắc đẹp đẽ chạy nhảy vui vẻ.
574,汽水,Danh từ,qìshuǐ,"nước ngọt có ga, soda",夏天的中午阳光强烈，喝一杯冰镇柠檬汽水感觉特别解渴舒服解渴舒服。,Trưa hè nắng gắt uống ly nước ngọt chanh đá thấy rất đã giải khát.
575,汽油,Danh từ,qìyóu,"xăng, dầu hỏa dùng cho xe",这辆大巴的汽油箱容量非常大，足够支持进行一整天的长途旅行长途旅行。,Bình xăng xe khách này rất lớn đủ chạy đi đường dài cả ngày.
576,器官,Danh từ,qìguān,cơ quan (bộ phận cơ thể con người/động vật),心脏是我们人体最核心的血液循环器官，必须要好好爱护好好爱护它。,Tim là cơ quan tuần hoàn máu cốt lõi cơ thể ta phải bảo vệ tốt.
577,前头,Danh từ,qiántou,"phía trước, đằng trước, đằng trước mặt",请大家跟着李老师朝前头走，前边那个绿色绿色大楼就是图书馆大楼就是图书馆。,"Mời mọi người đi theo cô Lý ra phía trước, tòa nhà xanh đằng trước là thư viện."
578,前途,Danh từ,qiántú,"tiền đồ, tương lai, triển vọng",只要你肯花时间多练习普通话，将来的就业前途一定一片光明一片光明。,"Chỉ cần chịu khó luyện tiếng Phổ thông, tương lai việc làm sẽ rất sáng."
579,浅,Tính từ,qiǎn,"nông, nhạt (màu sắc)",这件外套的颜色有点儿太浅了，我觉得不太适合适合冬天的寒冷干燥寒冷干燥。,"Màu chiếc khoác này hơi nhạt quá, tôi thấy không hợp đông lạnh khô."
580,巧克力,Danh từ,qiǎokèlì,sô-cô-la,过生日那天，李华送给我一盒味道超级甜美甜美的黑巧克力巧克力。,"Sinh nhật tôi, Lý Hoa tặng hộp sô-cô-la đen vị rất ngọt ngào."
581,切,Động từ,qiē,"cắt, thái, chia nhỏ (bằng dao)",吃苹果和香蕉以前，最好先把它们的外皮剥掉，用刀切成小块切成小块。,Trước khi ăn táo chuối nên bóc vỏ rồi dùng dao cắt miếng nhỏ.
582,亲爱,Tính từ,qīn'ài,"thân yêu, yêu quý, yêu mến",亲爱的同学们，请大家把汉语课本翻到翻到第一百三十页认真看课文课文。,"Các em học sinh thân yêu, giở sách trang 130 xem kỹ bài học nhé."
583,亲密,Tính từ,qīnmì,"thân mật, mật thiết, thân thiết",他们俩是从小一块儿长大的亲密好友，平时学习生活都在一起都在一起。,"Hai đứa họ là bạn thân thiết từ nhỏ, học hành sinh hoạt đều có nhau."
584,青春,Danh từ,qīngchūn,"thanh xuân, tuổi trẻ, tuổi thanh xuân",大学四年是我们人生中最美好、最充满活力的青春青春时光青春时光。,4 năm đại học là thời gian thanh xuân đẹp tràn đầy sức sống nhất đời ta.
585,轻松,Tính từ / Phó từ,qīngsōng,"nhẹ nhàng, thư thả, thoải mái",听一些轻松欢快的中文歌曲有助于缓解我们紧张的学习测试压力学习测试压力。,Nghe nhạc tiếng Trung vui vẻ giúp xoa dịu áp lực học thi căng thẳng.
586,轻易,Tính từ / Phó từ,qīngyì,"dễ dàng, tùy tiện, nhẹ dạ",我们绝对不能轻易放弃每一个能提高汉语普通话口语口语的机会。,Chúng ta tuyệt đối không được dễ dàng từ bỏ mỗi cơ hội luyện nói.
587,清醒,Tính từ / Động từ,qīngxǐng,"tỉnh táo, làm cho tỉnh táo",清晨起床后用凉水洗个脸，能让我们的大脑瞬间清醒清醒起来起来。,Sáng dậy rửa mặt bằng nước lạnh giúp đầu óc tỉnh táo ngay lập tức.
588,情景,Danh từ,qíngjǐng,"tình cảnh, quang cảnh, phong cảnh diễn ra",那幅中文海报上海报上生动描绘了留学生们欢度新年时的热闹情景热闹情景。,Tấm áp phích tả sinh động cảnh nhộn nhịp du học sinh đón năm mới.
589,穷,Tính từ,qióng,"nghèo, nghèo nàn, bần cùng",虽然他小时候家里非常贫穷，但他学习汉语依然极其极其刻苦刻苦。,Dù lúc nhỏ nhà nghèo nhưng cậu ấy học tiếng Trung vẫn cực kỳ chăm.
590,穷人,Danh từ,qióngrén,"người nghèo, người bần cùng",全心全意帮助社会底层的穷人穷人是每个国家干部都应有的责任责任。,Hết lòng giúp đỡ người nghèo trong xã hội là trách nhiệm cán bộ.
591,秋季,Danh từ,qiūjì,"mùa thu, quý thu",北京的秋季天高气爽，秋风送爽，是去香山观赏红叶的最佳季节最佳季节。,"Mùa thu Bắc Kinh trời cao mát mẻ, là mùa đẹp nhất ngắm lá đỏ."
592,趋势,Danh từ,qūshì,"xu hướng, chiều hướng phát triển",根据近三年的数据分析，外籍留学生数量呈现不断上升的趋势上升的趋势。,"Theo số liệu 3 năm qua, lượng du học sinh có xu hướng tăng liên tục."
593,圈,Danh từ / Động từ,quān,"vòng tròn, khoanh tròn, nhốt (chuồng)",请用红色的笔在卷子上写错的那个汉字生词生词外面画个圈画个圈标记。,Dùng bút đỏ khoanh một vòng tròn quanh chữ Hán viết sai để đánh dấu.
594,权利,Danh từ,quánlì,"quyền lợi, quyền hành, quyền",维护个人正当合法权利是每个公民应有的法律法律意识常识。,Bảo vệ quyền lợi hợp pháp cá nhân là ý thức pháp luật mỗi công dân.
595,却,Phó từ,què,"nhưng, lại (biểu thị tương phản)",他虽然平时看起来很冷淡，实际上实际上他内心却非常热情友好热情友好。,Cậu ấy bề ngoài trông lạnh lùng thực tế lòng lại rất thân thiện.
596,确认,Động từ,quèrèn,"xác nhận, khẳng định chắc chắn",去火车站买票以前，请一定要仔细确认确认好你的身份证件信息身份证件信息。,"Trước khi ra ga mua vé, nhớ xác nhận kỹ thông tin thẻ căn cước."
597,然而,Liên từ,rán'ér,"thế nhưng, tuy nhiên, nhưng",他虽然每天都花时间背诵汉语生词，然而然而他的听力成绩依然不好成绩依然不好。,"Dù học từ mới mỗi ngày, tuy nhiên điểm nghe của cậu ấy vẫn kém."
598,燃料,Danh từ,ránliào,nhiên liệu (để đốt cháy),这种新型机器设备主要使用绿色环保环保的液态燃料液态燃料作为动力动力。,Loại máy mới này chủ yếu dùng nhiên liệu lỏng thân thiện môi trường.
